rhyme scheme	stanza	filename	stanza number (in file)
ABCDED	"O ve!
Der hviskes i lønn
av villige tunger.
Skal herskerens makt
bøye seg rolig og tåle
svermernes skumle forakt?"	2011041408091_31_annotated.txt	8
AABB	"Da hender det en yndig sommernatt,
at Romas barn av søvne våkner bratt.
De våkner til så grenseløs en jammer,
de våkner for å se sin by i flammer."	2011041408091_31_annotated.txt	9
ABBA	"De griske luer flyr fra hus til hus,
hvor øyet ser, det gnistrer, herjer, brenner
fra dag til dag  og redslen ikke ender
før byens største del er lagt i grus."	2011041408091_31_annotated.txt	10
ABACBDCD	"Det svirrer rundt de underligste rykter
om skyld og ansvar for så stor en mén.
Man tviler og man tror  man hvisker, frykter,
og mer enn ord forteller blikk og miner,
snart samler alt og alle seg om én.
Man visste godt hvor keiseren holdt til
mens folkets eie lagdes i ruiner.
På slottets tak han drev sitt narrespill."	2011041408091_31_annotated.txt	11
ABBA	"Der stod den gale, usle ødeland
i gjøglerstas og med bemalte kinner,
og moret seg blandt skjøger og slavinner,
og spilte luth og sang om Trojas brann."	2011041408091_31_annotated.txt	12
AABB	"Og nå, når folkets mistro først er vakt,
nå søker keiseren av all sin makt
å gjøre godt, å hjelpe og å lindre.
Dog intet mer kan folkets harme hindre."	2011041408091_31_annotated.txt	13
ABAB	"Men da får uslingen en djevelsk tanke,
som vender strømmen, gjør hans stilling sterk,
og bygger ham en sikker redningsplanke:
Den store brann, den er de kristnes verk!"	2011041408091_31_annotated.txt	14
ABBA	"Og deres gjerning krever billig bod.
Så slippes koblet løs, og byttet jages,
fra hjem og arne menn og kvinner drages.
Og Rom blir drukken av de kristnes blod."	2011041408091_31_annotated.txt	15
AABCBC	"Der går en tid, og sorgens bud fra Rom
på ryktets vinger spredes viden om.
Det er det første, skingrende signal
til striden som skal verdens troner ryste,
begynnelsen til all den ve og kval
som kristne hjerter i sitt grep skal kryste."	2011041408091_31_annotated.txt	16
AABCC	"Og hvor som helst til by og land det rekker,
de kristnes flokk det engster og forskrekker,
og varsler allesteds om død og dom.
Det når og Paulus hvor han ferdes nu,
og fyller ham med smerte og med gru."	2011041408091_31_annotated.txt	17
AABCCB	"Hans brødres nød ei gir hans tanker hvile.
Så gjerne vil til deres hjelp han ile.
Men hvor han er, sin kraft han ikke sparer.
Han trenges overalt — hans klare ånd,
hans skarpe blikk, hans sterke, milde hånd;
ti Kristi rike truer mange farer."	2011041408091_31_annotated.txt	18
AABCBC	"Tilsist dog river han seg løs med hast
for Rom å nå foruten ro og rast.
Men denne gang ei noen broderskare
ham møter halvveis på hans romerferd.
Akk nei  ei noen løpe vil den fare,
det var å blotte seg for ild og sverd."	2011041408091_31_annotated.txt	19
AABCCB	"Og Paulus selv om føye tid forstår
at meget snart hans egen time slår.
Hans ferd er fri. Sin tro han ei kan skjule,
må bringe mot og styrke til de svake,
de få av flokken som er enn tilbake;
men går så like inn i løvens hule."	2011041408091_31_annotated.txt	20
AABCBC	"Det spørres snart at kristensektens leder,
den trossige, den farlige forræder
er kommet. — Og med samme kraft som før
til svik og frafall folket han vil tvinge.
Da hvesser løven sine skarpe klør
og hugger dem i viltets varme bringe."	2011041408091_31_annotated.txt	21
AABBCC	"Så sitter Paulus da bak lås og slå,
i bolt og jern i fengslets skumle vrå.
Han vet forvisst, nå er hans dagverk endt,
det siste blad i skjebnens bok er vendt.
Ti lov og rett er landsforvist fra Rom.
Hva hast har vel en frekk forbryters dom? "	2011041408091_31_annotated.txt	22
ABAB	"Den første rettergang var mer enn nok.
Sin rases ektefødte sønn er han!
Han er en utsøkt fører for den flokk
hvis skjulte verk er rov og mord og brann."	2011041408091_31_annotated.txt	23
ABBC	"Hans tale var forvoven som hans mot,
vår dyre tid vi kunde gjerne spart.
Nå kan han vente. Han er godt forvart.
Nå kan han kjøle litt sitt hete blod."	2011041408091_31_annotated.txt	24
AABB	"Hans planer er for alle tider rammet.
Hans munn er lukket, og hans arm er lammet.
Og Paulus venter. Dog mens tiden svinner,
hans tankes tråder kun om ett seg spinner:"	2011041408091_31_annotated.txt	25
AABBCC	"Gudsrikets kår, dets farer fjernt og nær,
de svake brødres strid mot mørkets hær.
For én av dem hans hjerte særlig slår, 
ved natt og dag det svir som åpent sår:
Timolt e us, hans venn,i sorg er senket;
av tvil og mismot er hans hjerte krenket."	2011041408091_31_annotated.txt	26
AABBCC	"I Efesus han står som hjordens vakt,
men kuet under hedenskapets makt.
Av tidens tåker lett hans øye hildes,
av løgnens skrik hans hjerte lett forvilles.
Så skriver Paulus. Sterke, ømme ord;
som far til elsket sønn, som bror til bror."	2011041408091_31_annotated.txt	27
AABBCC	"Hvor gjerne han sin kjære venn dog bringer
den styrkedrikk som mørkets makt betvinger.
Og Paulus selv  han trenger ikke mindre
den venn som kan hans tunge trengsler lindre;
det hjerte i hvis dybder han kan se
og ønske bot for ensomhetens ve."	2011041408091_31_annotated.txt	28
AABB	"Kom! ber han ham; men dagen snart er omme.
Det haster nå. Før vintren må du komme,
at jeg fornemme kan ennu en gang
ditt hjertes varme og din stemmes klang."	2011041408091_31_annotated.txt	29
ABCB	"Og når du kommer, ta min kappe med;
ti kald er cellens luft og hårdt mitt leie.
Og bøkene hos Karpus, som du vet,
av jordisk gods det er mitt hele eie."	2011041408091_31_annotated.txt	30
AABB	"Mitt øye stirrer på den nakne mur,
og lang er tiden i mitt trange bur.
Ti alle har forlatt meg. Lukas kun
har tjent meg trofast inntil denne stund."	2011041408091_31_annotated.txt	31
AABB	"Da til mitt første forhør jeg var kalt,
da møtte ingen  Gud forlat dem alt.
Men Herren stod meg bi. Hans sterke hender
meg reddet nådig ut av løvens tenner.»"	2011041408091_31_annotated.txt	32
ABBA	"Så prenter Paulus da sitt siste ord
og sender til sin unge venn som lider.
Hanssisbeord! Hvis lys til alle tider
skal skinne over kristnes strid på jord:"	2011041408091_31_annotated.txt	33
AABB	"«Bli sterkt min sønn! Kom Jesus Krist i hu
Hans vei var livet gjennom dødens gru.
Kun den er sterk, som blind for jordens glans
med viljen hel har lagt sin hånd i hans."	2011041408091_31_annotated.txt	34
AABB	"Når jordens riker synker og forgår,
Guds faste grunn urokket evig står.
Fullfør din tjeneste med udelt sinn;
din strid er Kristi strid  hans seier din."	2011041408091_31_annotated.txt	35
AABB	"For meg er livets aftenstjerne tent.
Mitt offer har jeg bragt. Mitt liv er endt.
Stridt er den gode strid  og troens skatt
jeg reddet gjennom prøvens lange natt."	2011041408091_31_annotated.txt	36
ABAB	"Så ligger da hin seirens skjønne krans
beredt for meg i evighetens sommer,
den rekkes meg når jeg i lysets glans
skal stilles for rettferdighetens dommer.»"	2011041408091_31_annotated.txt	37
ABBA	"Tilsist for Kristi fange timen slår.
Med bundne hender gjennom Romas gater,
i kretsen av bevæbnede soldater
til døden for sin mester glad han går."	2011041408091_31_annotated.txt	38
ABAB	"Hans kropp er krøkt av lidelser og nød,
men sjelen blusser dog av livets lue.
I øyet stråler enn den gamle glød,
og åndens klarhet over pannens bue."	2011041408091_31_annotated.txt	39
ABAB	"Han er beredt. Det skarpe våben blinker.
Det gjør sin gjerning. Allting er forbi.
Rettferdighetens seierskrans ham vinker. 
Den bundne Paulus er for alltid fri."	2011041408091_31_annotated.txt	40
ABBC	"Med år under vingen
Prøv at bli hjemme
her hvor din stemme
ikke et ekko engang kan få løst!"	2014102306006_13_annotated.txt	0
ABCABC	"Hvor er nå vinden,
hvor er nå løvet,
hvor er nå rytmen i stammernes gang;
gresset mot kinden,
ormen i støvet,
roser og kingelvev, humler og sang?"	2014102306006_13_annotated.txt	1
ABCABC	"Fatter du ikke,
du som fikk øyne,
hva der står skrevet i himmel og jord?
Vend dine blikke
bort mot det fløyne,
alt det som visste hvor sannheten bor!"	2014102306006_13_annotated.txt	2
ABCABC	"Årstider skifter,
slukkes og tennes,
sole og stjerner ser ned i vår krok
alt er det skrifter,
blade som vendes
evig i skapelsens mektige bok."	2014102306006_13_annotated.txt	3
AABCC	"Lær deg at tyde,
skynd deg at lyde
førend du selv ligger utstrakt og stiv.
Jeg vakler fremad svimmel,
jeg er i klokkenes himmel!"	2014102306006_13_annotated.txt	4
AABBCC	"Alle fjellene henger
ned over alle enger,
svarte, avgnagde åser,
gamle skitne båser,
landet for sauer og kyr
og menneskedyr."	2014102306006_13_annotated.txt	5
AABBB	"Ingen tinder i sky,
ingen solskinnsfly.
Her er jeg født og båret,
for tungebånd skåret,
til dikter kåret."	2014102306006_13_annotated.txt	6
AABCBC	"Og her synger jeg visen
for trellen som passer grisen.
Det spiller i et gammelt slott.
Søylene er slanger.
Der sitter én tjener blott
i de øde ganger."	2014102306006_13_annotated.txt	7
ABCA	"Han sover.
Et leie er redt til to,
men ingen kommer.
Det er ikke hestehover"	2014102306006_13_annotated.txt	8
ABAB	"På dem med flit at bygge,
i dem med kunst at bo
som fugl der ligger trygge
i bølgedalens ro"	2014102306006_13_annotated.txt	9
AAAB	"det er hva du skal lære!
At vann og vind kan bære
oss alle lett som fjære
det er hva du skal tro!"	2014102306006_13_annotated.txt	10
ABAB	"Når han i skyen kommer,
som han engang har sagt,
da er han verdens dommer
med døden i sin makt."	2014102306006_13_annotated.txt	11
ABABBB	"Da er det blot at kunne
det løsen vi fikk med
da vi løp bort som hunde,
mens han for livet stred.
Du husker tid og sted
og budet; våk og bed!"	2014102306006_13_annotated.txt	12
ABCCB	"Må kvelden komme 
og gå som en isnende drøm
over fiskenes finner og lerens orm
og uro den stillhet hvor ingen storm
har rokket den evige strøm."	2014102306006_92_annotated.txt	0
ABBBA	"Men lengre borte skråner det opp
mot l1ysere, villere vann.
Om klippene skinner en dunkel brann.
Og se, nå ruller fra lysets rand
en langsomt dreiende kropp "	2014102306006_92_annotated.txt	1
AABCCDDA	"En evighet går. Så hviler den blødt
på tangen, som glinser i sort og rødt.
Tred nærmere nå, og se!
Hans øyne fortones i dypets blå,
hans hår flyder sammen med sandets grå;
hans panne og stenens glatte rund
kan ikke skjelnes, hans blålige munn
har de blåsorte tanglepper møtt."	2014102306006_92_annotated.txt	2
ABACBC	"O syvsover du i det evige dyp,
intet kan vekke deg nu!
At kjødet blir føde for fisker og kryp
og knoklene blir til leire,
det er ikke for tanken en gru,
det frister blot den som ser!"	2014102306006_92_annotated.txt	3
ABAB	"Fra høydene faller en lysning vakt
på den kulsorte klippevegg.
Der ligger en hummer og fråder svakt
med sin klo i likets skjegg..."	2014102306006_92_annotated.txt	4
ABAB	"En grav er bedre enn alle slotter,
der har vi hjemme så små vi er.
Guds helgner bodde i hull og grotter,
i graven er vi ham alle nær."	2014102306006_108_annotated.txt	0
ABAB	"Hvor godt at lytte til blestens susen,
til regnets rislen og løvets brus.
Hver dråpes fall er et nyt årtusen
som går til hvile i jordens grus."	2014102306006_108_annotated.txt	1
ABAB	"Og også du er et blad på kvisten,
og også deg griper stormen fatt
og legger deg som et løv i kisten
og bruser over din sjel: god natt!"	2014102306006_108_annotated.txt	2
ABAB	"Hvor godt at la sine tanker fare,
hvor godt at skue i det som flyr,
det er at kjenne guds vilje vare,
det er at se hva hans kraft betyr."	2014102306006_108_annotated.txt	3
ABAB	"vårt hus er ikke et evigt fengsel,
det er et grenseløst faderskjød
med rom for hele vårt hjertes lengsel
og frihet både til liv og død."	2014102306006_108_annotated.txt	4
ABAB	"Så kald på døden når du vil hvile,
han kommer lett som en aftenvind.
Og før det rasler i gravens pile
er du til stjernernes fred gått inn!"	2014102306006_108_annotated.txt	5
ABBCDCEDE	"Akk hvor lenge, akk hvor lenge
varer ennu Herrens vrede?
Døden for enhver er rede.
Hva er dette?! — Redselsslagen
plutselig Obadja stanser. 
Ser jeg syner midt på dagen?
Har den siste tids elende
min forstand og mine sanser
svekket? — Ser jeg rett kan hende?"	2011042608056_6_annotated.txt	0
AABCC	"Ja  det er ham! Gud, han kommer!
Solen om hans panne flommer!
Han går rank og fast som før,
kappen, staven, alt jeg kjenner,
harmen i hans blikke brenner. "	2011042608056_6_annotated.txt	1
AABCDCD	"Skjelvende Obadja kneler 
bøyer seg til jorden, mæler:
«Er det deg, Elias, Herre !
«Ja det er. Gå straks tilbake,
si din konge, jeg er kommen
«Akk, Elias, skån meg, svake.
Skån meg! Kjenner du ei dommen?"	2011042608056_6_annotated.txt	2
AABB	"Kongen har på hvert et sted
menn og kvinner tatt i ed:
Den som finner deg skal brenne,
hvis han slipper deg av hende."	2011042608056_6_annotated.txt	3
ABACBC	"Når nå jeg ditt budskap bringer,
og vi kommer her tilbake,
og så du på åndens vinger,
båret er, vi vet ei hvor,
så må dødens slag jeg smake,
for jeg sviktet hva jeg svor."	2011042608056_6_annotated.txt	4
ABBA	"Skån meg! Bitter var min strid.
Jeg har syndet jeg som andre;
dog  det var min lyst å vandre
på Guds veier all min tid."	2011042608056_6_annotated.txt	5
ABAB	"Og når Jesabel lot slakte
Guds profeter allevegne,
hundreder av dem jeg bragte
bort til trygge, skjulte egne."	2011042608056_6_annotated.txt	6
AABBCDC	"Ja til denne dag jeg skjuler,
femti mann i tvende huler,
og med eget liv i fare
søker jeg dem å bevare
og befri fra hungersnøden.
Derfor, skån din ringe tjener
jag ham ikke nå i døden."	2011042608056_6_annotated.txt	7
AABB	"«Gå, Obadja!l Bring mitt bud
til din herre.  Ved min Gud
sverger jeg: Så skal det skje,
jeg idag skal Achab. se,"	2011042608056_6_annotated.txt	8
ABAB	"Kongens tjener står forferdet.
Kongens verk han skal befordre,
og han vet, ei skåner sverdet
den som lyder fremmed ordre."	2011042608056_6_annotated.txt	9
ABCDAB	"bringer kongebud i glemme,
selv han som en konge står.
Og Obadja kan ei mere,
det får briste eller bære 
Men profetens guddomsstemme
taus han vender seg og går."	2011042608056_6_annotated.txt	10
AABBCDCD	"Ildprofeten står tilbake 
ser medlidende den svake,
redde mann, som fast seg klynger
til det lv som hårdt ham tynger.
Stakkars mann! Det er ei lett
gudløshetens verk å tjene.
Intet under, den blir trett,
som skal Gud og Baal forene."	2011042608056_6_annotated.txt	11
AABB	"Dog  du mente det så vel,
derfor sletter Gud din gjeld. 
Var enn llivet fullt av brist,
ærlig var din vilje visst;"	2011042608056_6_annotated.txt	12
AABBCDDC	"livets slagger, snart de glemmes,
livets gull skal evig gjemmes.
Elias har ventet. — Timen er nær!
I aftenens siste svinnende skjær
ser han en støvsky fra veien seg løfter.
Der kommer kongen — hissig og harm.
Han nærmer seg bratt. — Der høres en larm
av våben som klirrer og hester som snøfter."	2011042608056_6_annotated.txt	13
AABBCC	"Elias går fremad — én mot mange 
i neste minutt er han kongens fange.
Fange? Å nei! Et selsomt skue:
ei løftes en arm, ei spennes en bue,
de barske soldater, som tørster etter blod,
de synes å mangle sitt krigerske mod."	2011042608056_6_annotated.txt	14
AABCCB	"Og kongen selv? Har han glemt å befale?
Der merkes ingen kongelig klang i hans tale
når frem han støter: «Er det deg som kommer!
Du, som forstyrrer Israels land.
Da svarer Elias  og den ensomme mann
vokser til folkets og kongens dommer:"	2011042608056_6_annotated.txt	15
AABB	"«Du feiler, kong Achab. Ikke jeg, men du
skal kreves til regnskap for tidens gru.
Du nedbrøt Guds alter, du sviktet ditt kall;
du brukte din makt til folkets fall."	2011042608056_6_annotated.txt	16
AABCBC	"Hvorfor bøyet du ikke ditt hjerte i bot,
men lå som en trell for din dronnings fot.
Se deg omkring! Fra ende til ende
er landet en ørken, øde og tyst:
hungeren hisser frende mot frende,
spebarnet dør ved det tørrede bryst."	2011042608056_6_annotated.txt	17
ABAB	"Ungdommen visner  de kraftige sønner
er oldinger lik, med slepende trinn.
Ingen har tårer, ingen har bønner
den sterke er håpløs, den vise er blind."	2011042608056_6_annotated.txt	18
AABB	"Se deg omkring, kong Achab, og merk:
Din er skylden; alt er ditt verk.
Og nå skal det prøves. Nå skal du samle
landets innvånere, unge og gamle."	2011042608056_6_annotated.txt	19
ABBCC	"Og særlig til dronningens sommerpalass.
Hent hennes prester, lakeier og sangere. —
Rapp deg, kong Achabl! Jag dine gangere.
Vi møtes på Karmel, ved Kisons dal.
Folket skal velge: Jehova eller Baal."	2011042608056_6_annotated.txt	20
ABBCC	"Det går over landet som knitrende ild:
Elias er kommet! — De sløve vekkes,
enkelte gleder seg, andre forskrekkes;
men alle som kan, kvinner som menn,
strømmer i hast til Karmel hen."	2011042608056_6_annotated.txt	21
ABAB	"Et underlig syn: veiene, stiene,
litt etter litt blir som levende snore
fremover skrentene, ned etter liene
skarene myldrer, talløse, store."	2011042608056_6_annotated.txt	22
AABB	"Der er ikke stender, der er ikke klasser,
ikke et samfund, kun summende masser 
menneskekropper, visne som løvet,
menneskesjeler som nøden har sløvet."	2011042608056_6_annotated.txt	23
AABBCC	"En eneste lidenskap brenner ennu
i de tuseners barm: det er sultens gru.
Plutselig går der et rykk gjennom massen 
på den eldgamle offerhøy midt på plassen
en mann treder frem, hvis grove drakt
betegner hans stilling og viser hans makt."	2011042608056_6_annotated.txt	24
AABB	"Ensom og rolig for folket han står. 
Profeten Eliasl Over bjerget det går
som et dempet hvin.  Han løfter staven,
og på Karmel med ett er tyst som i graven."	2011042608056_6_annotated.txt	25
AABB	"Elias taler. Med dommens vekt
faller hans ord på den sløve slekt.
De er som en gjenklang fra gamle tider:
«Hvor lenge vil dere halte til begge sider?"	2011042608056_6_annotated.txt	26
AABB	"Hvis Herren er Gud, så gå etter ham!
Hvis Baal er Gud, så gå etter ham!
Si frem deres tanker! Bekjenn hva dere tror»
— Men folket svarte ham ikke et ord."	2011042608056_6_annotated.txt	27
AABB	"Så- talte han atter: «Ved disse stene
står jeg, som Herrens profet, alene.
Men dere er mange.  Se dagen gryr
Så bring oss nå hver vårt offerdyr."	2011042608056_6_annotated.txt	28
AABCDC	"Dere ofrer til Baal — til Jehova jeg;
og svaret vi får skal vise oss vei:
Den Gud som svarer ved ild, er Gud.
Ham vil vi alle tjene og ære,
den annen skal slettes for evig ut.»
Og folket svarte: «Så skal det være"	2011042608056_6_annotated.txt	29
AABCCBDD	"Det folkets svar er Elias nok.
Så vender han seg til prestenes flokk.
«Dere må begynne!» så falt hans ord,
bi jeg er alene, men dere er mange.
Bring deres offer, syng deres sange,
og pris deres gud, hvis makt er så stor.
Men ingen av oss,» så føyer han til,
«skal tenne vårt offer med vanlig ild.»"	2011042608056_6_annotated.txt	30
AABCCB	"Så trådte de frem og tok fatt med bønner,
hin utvalgte flokk av Fønikiens sønner.
De kjente sitt hjemlands ritual 
de danset rundt altret, smykket og sminket,
fra morgen til middag de hoppet og hinket,
og ropte: «Bønnhør oss, bønnhør oss, o Baal!»"	2011042608056_6_annotated.txt	31
ABBA	"Men Baal stod taus. Deres rop og skrik
måtte i sannhet en sten kunne røre.
Villere danset de, hete og øre 
men guden stod kald og taus som et lik."	2011042608056_6_annotated.txt	32
ABBCCD	"Da spottet Elias: «Dere er dårlige prester.
Deres lunger er svake. Rop så det høres!
Så skal nok Baal til medlidenhet røres.
kan hende han grubler på skjulte ting,
eller ferdes i fremmede egne omkring.
Ta fatt på ny. Rop av strupen ut."	2011042608056_6_annotated.txt	33
ABCCBC	"Dere kan skjønne han hører. Han er jo Gud
De følger hans råd. Med øynene stive,
sin panne mot alterets stener de slår.
De styrter mot jorden,' de river sitt hår,
og flenger sin hud med syler og knive.
så blodet strømmer fra gapende sår."	2011042608056_6_annotated.txt	34
AABCBC	"Fra morgen til middag, til matofrets tid
de bønfaller Baal med en usvekket flid
De skifter tørn — men akk, uten hell.
Som gale de hyler, som slagne de stønner,
de dekker i dynger det solbrente fjell.
Men Baal har ei svar på prestenes bønner."	2011042608056_6_annotated.txt	35
ABABCCDEED	"Der steg fra massen en undertrykt støy.
Det syntes som folkets tålmodighet brast.
Elias gikk atter til alterets høy
og kalte på folket. Og rolig og fast
han reiste det nedbrutte alter alene,
la veden til rette på uhugne stene,
og ovenpå vedlaget offerets kjøt.
Så grov han en grøft om alterets rand,
som folket fylte tre ganger med vann,
så vannet i grøften rikelig fløt."	2011042608056_6_annotated.txt	36
ABCDDC	"Så trådte han frem, den Herrens profet,
den herdede kjempe, han bad, han stred:
«Du, Abrahams, Isaks og Jakobs Gud!
O, vis dette folk din godhet og makt,
og at jeg er din tjener, som holder din pakt,
og gjorde alt dette ifølge ditt bud."	2011042608056_6_annotated.txt	37
ABAB	"Svar dog, o Herre! At folket må kjenne
hvem som er Gud over himmel og jord.
Svar meg! Så folkets nød må få ende.
Svar meg! Å svar, Herre, etter ditt ord»"	2011042608056_6_annotated.txt	38
ABABCDDEE	"Sekundene går. En spenningens vånde
syns gjennom mengden, som skjelven gå.
Ingen tør røre seg, knapt tør man ånde,
man hører sin sidemanns hjerte slå.
profeten deroppe står taus og alene.
Da løfter seg plutselig talløse hender:
«Ilden! Der er den! Se hvor den tenner»
Ofret og veden og grøftens vann,
all ting fortærer den himmelske brann."	2011042608056_6_annotated.txt	39
AABBCD	"Da stiger et rop fra tusinde tunger,
fra ende til ende av bjerget det runger
stigende, fallende, gang på gang,
som en seiersfanfare, en jubel, en sang,
som et stormværs brus så toner det ut:
Jehova er Gud! Jehova er Gud!"	2011042608056_6_annotated.txt	40
AABCDD	"Da roper Elias: Grip nå prestene!
Skån ikke eén!  Fei vekk alle restene
av Baals og Astartes giftige rot.
Fyll den tørrede bekk med de løgneres blod
Så gikk Elias. Til Karmels topp
med hastige skritt han skyndte seg opp."	2011042608056_6_annotated.txt	41
ABBA	"Der la han sitt hode over sitt kne
og bad om regn.  Nå skulle det komme.
Nå skulle straffens tid være omme.
Men himlen var klar; ingen sky å se."	2011042608056_6_annotated.txt	42
AABBCC	"Han bønfalt på ny, mere sterkt enn før.
Men himlen var klar, og luften tørr.
Og om igjen bad han, på ny og på ny.
Endelig steg der av havet en sky.
Da reiste han seg — Gud hørte hans bønn.
For år i kval denne sky var lønn."	2011042608056_6_annotated.txt	43
ABCDD	"Da sendte han ilsomt et bud avsted
til teltet, hvor kongen fornøyet satt
og styrket sin kropp med vin og mat:
«Skynd deg, spenn for, dra hastig ned,
så ikke av regnet du voldes fortred»"	2011042608056_6_annotated.txt	44
AABB	"Og skyen fra havet, den vokser fort;
snart fyller den rommet, blålig og sort.
Og sel under lyn og drønnende torden
de første regndråper suser mot jorden."	2011042608056_6_annotated.txt	45
ABBCCDDEE	"Men dråpene øker til styrtende strømmer 
strømmer, som kveger den brente jord.
det er som han går i Guds egne spor.
Han fylles av seierens mektige ånd,
det er som han løses av stoffets bånd
og bæres av sterke, usynlige hender.
Tett svøper han kappen rundt sine lender,
og løper som storm foran kongens heste,
idag vil Elias Jesabel gjeste."	2011042608056_6_annotated.txt	46
ABBA	"Ei tretthet, ei sult, ei det strømmende regn,
ei veiens menneskemylder han sanser,
intet ham hindrer, intet ham stanser
før med kongen han rekker Jesreels egn."	2011042608056_6_annotated.txt	47
ABAB	"Jesus, styr du mine tanker,
Jesus, la meg leve så
at hvor jeg i verden vanker,
et Guds barn jeg være må!"	2009013000065_7_annotated.txt	0
ABAB	"At hver stund jeg ånde drager
Gud til ære, meg til gavn,
og så dør når ham behager.
i det søte Jesu navn."	2009013000065_7_annotated.txt	1
ABCB	"Salig er den hvis synd er forlatt,
salig i Gud alene.
Salig er den som uten svik
vandrer Guds vei den rene."	2011041408047_26_annotated.txt	0
ABCB	"Lenge jeg taug, og livets saft
svant som ved sommerens tørke.
Gammel jeg ble, og dagens lys
sluktes i nattens mørke."	2011041408047_26_annotated.txt	1
ABCB	"Da jeg bekjente min synd for Gud,
hørte jeg ord så milde.
Livlig i ørkenens glødende sand
åpnet seg livets kilde."	2011041408047_26_annotated.txt	2
ABCB	"Gud er mitt skjul, min trygge borg,
Gud er min eneste lengsel.
Fuglen som blør av tusen sår,
løser han mildt av fengsel."	2011041408047_26_annotated.txt	3
ABCB	"Byrden han løfter fra trett manns rygg,
trellen for åket befrier.
Salig enhver som tålsom og tro
etter Guds frelse bier."	2011041408047_26_annotated.txt	4
